AT&T CellID Report ref Request#: 12864A25,,,,,
Prepared by:,Agent #3723,,on:,3/1/2010 @14:42,
,,,,,
REF: ,Customer Account # 49267591314,,,IMSI: ,310410265624299
,,,,,
Timestamp,MCC,MNC,Loc,ID,
1265364000,310,410,27071,24644,
1265364180,310,410,27005,5203,
1265364360,310,410,27004,4701,
1265364540,310,410,27016,3201,
1265364720,310,410,27016,3203,
1265364900,310,410,27016,3863,
1265365080,310,410,27072,3866,
1265365260,310,410,27072,23866,
1265365440,310,410,27072,23869,
1265365620,310,410,27071,25727,
1265365800,310,410,27016,3901,
1265365980,310,410,27016,4833,
1265384100,310,410,27070,4592,
1265384820,310,410,27070,4595,
1265385540,310,410,27106,3261,
1265386260,310,410,27070,23377,
1265400240,310,410,27601,48135,
1265400900,310,410,27601,48138,
1265401560,310,410,27601,47109,
1265402220,310,410,27605,49896,
1265402880,310,410,27608,48115,
1265403540,310,410,27707,45473,
1265404200,310,410,27608,48115,
1265434320,310,410,54984,49024,
1265434440,310,410,54984,49001,
1265434560,310,410,54795,48743,
1265434680,310,410,54003,21151,
1265442300,310,410,27073,43791,
1265453640,310,410,27610,61155,
1265454900,310,410,27610,50521,
1265456160,310,410,27780,50183,
1265457420,310,410,27780,11747,
1265458680,310,410,27610,48267,
1265459940,310,410,27610,49887,
1265461200,310,410,27799,15263,
1265462460,310,410,27799,50803,
1265463720,310,410,27610,49886,
1265481180,310,410,41041,5875,
1265483520,310,410,41041,6876,
1265485860,310,410,41041,2735,
1265508300,310,410,27799,1363,
1265518680,310,410,27072,4721,
1265529060,310,410,27003,3731,
1265539440,310,410,27003,5332,
1265557500,310,410,29007,3741,
1265564820,310,410,27072,24724,
1265565480,310,410,27016,3921,
1265566140,310,410,27003,3732,
1265566800,310,410,27003,3733,
1265567460,310,410,27003,3233,
1265568120,310,410,27003,3232,
1265585040,310,410,27003,4691,
1265585340,310,410,27018,5643,
1265585640,310,410,27018,5641,
1265585940,310,410,27018,5642,
1265586240,310,410,27018,4243,
1265586540,310,410,27018,3103,
1265615100,310,410,27073,43791,
1265635020,310,410,10006,30341,
1265634900,310,410,10017,16932,
1265703240,310,410,27601,61167,
1265708820,310,410,27799,6892,
